Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-03-17,MCU Chronological Order,,https://boxd.it/1CXuA,

Position,Name,Year,URL,Description
1,Captain America: The First Avenger,2011,https://boxd.it/28b0,
2,Captain Marvel,2019,https://boxd.it/9vSA,
3,Iron Man,2008,https://boxd.it/28dA,
4,Iron Man 2,2010,https://boxd.it/1WZM,
5,The Incredible Hulk,2008,https://boxd.it/28dU,
6,Thor,2011,https://boxd.it/1WQU,
7,The Avengers,2012,https://boxd.it/1xFW,
8,Iron Man 3,2013,https://boxd.it/2cBQ,
9,Thor: The Dark World,2013,https://boxd.it/2DqA,
10,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
11,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
12,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
13,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
14,Ant-Man,2015,https://boxd.it/3vmW,
15,Captain America: Civil War,2016,https://boxd.it/89Ja,
16,Black Panther,2018,https://boxd.it/8MHs,
17,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
18,Doctor Strange,2016,https://boxd.it/8MH8,
19,Thor: Ragnarok,2017,https://boxd.it/8MHi,
20,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
21,Avengers: Infinity War,2018,https://boxd.it/9vEe,
22,Avengers: Endgame,2019,https://boxd.it/9vE4,
