Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-09-16,Oscars 2016 Watch List (sorted by release date),,https://boxd.it/NuiS,

Position,Name,Year,URL,Description
1,Hell or High Water,2016,https://boxd.it/bfGM,August 12
2,Kubo and the Two Strings,2016,https://boxd.it/a4wE,August 19
3,The Birth of a Nation,2016,https://boxd.it/bhFQ,October 7
4,The Accountant,2016,https://boxd.it/9EhI,October 14
5,Hacksaw Ridge,2016,https://boxd.it/azew,November 4
6,Arrival,2016,https://boxd.it/aNGk,November 11
7,Manchester by the Sea,2016,https://boxd.it/b2L0,November 18
8,Allied,2016,https://boxd.it/cP42,November 23
9,La La Land,2016,https://boxd.it/a5fa,December 2
10,Jackie,2016,https://boxd.it/d6bu,December 9
11,The Founder,2016,https://boxd.it/9XwM,December 16
12,Collateral Beauty,2016,https://boxd.it/bAIu,December 16
13,Fences,2016,https://boxd.it/dL6A,December 16
14,A Monster Calls,2016,https://boxd.it/7DjE,December 23
15,Silence,2016,https://boxd.it/2cAo,December 23
16,Live by Night,2016,https://boxd.it/7GJA,December 25
