Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-01,Theatrical Batman,,https://boxd.it/fBC6c,

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
4,Batman Begins,2005,https://boxd.it/2aIg,
5,The Lego Batman Movie,2017,https://boxd.it/azp0,
6,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS,
7,Batman: Under the Red Hood,2010,https://boxd.it/11eE,
8,"Batman: The Long Halloween, Part One",2021,https://boxd.it/rCIe,
9,"Batman: The Long Halloween, Part Two",2021,https://boxd.it/rCI4,
10,"Batman: The Dark Knight Returns, Part 1",2012,https://boxd.it/43Is,
11,"Batman: The Dark Knight Returns, Part 2",2013,https://boxd.it/4xzg,
12,Batman Returns,1992,https://boxd.it/2awa,
13,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW,
14,Justice League: Doom,2012,https://boxd.it/2DVe,
15,Batman,1989,https://boxd.it/2aIU,
16,Batman & Mr. Freeze: SubZero,1998,https://boxd.it/1Luo,
17,Batman: Assault on Arkham,2014,https://boxd.it/787M,
18,Superman/Batman: Apocalypse,2010,https://boxd.it/QcC,
19,The Dark Knight Rises,2012,https://boxd.it/H3m,
20,Batman: Gotham by Gaslight,2018,https://boxd.it/gU7e,
21,Batman: Year One,2011,https://boxd.it/2vf0,
22,Son of Batman,2014,https://boxd.it/7mQm,
23,Batman: Bad Blood,2016,https://boxd.it/cI0W,
24,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
25,Batman,1966,https://boxd.it/26uO,
26,Batman vs. Robin,2015,https://boxd.it/aqNs,
27,Batman: Hush,2019,https://boxd.it/jyDI,
28,Batman: The Killing Joke,2016,https://boxd.it/djxe,
29,Superman/Batman: Public Enemies,2009,https://boxd.it/1zXS,
30,Batman Forever,1995,https://boxd.it/2ara,
31,Batman & Robin,1997,https://boxd.it/2ar0,
