Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-08-03,Top 10 Marvel Movies,,https://boxd.it/qTwu,

Position,Name,Year,URL,Description
1,Captain America: Civil War,2016,https://boxd.it/89Ja,
2,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
3,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
4,The Avengers,2012,https://boxd.it/1xFW,
5,Spider-Man 2,2004,https://boxd.it/2a88,
6,Deadpool,2016,https://boxd.it/9fOC,
7,Iron Man,2008,https://boxd.it/28dA,
8,Logan,2017,https://boxd.it/7Piy,
9,Spider-Man,2002,https://boxd.it/2a8i,
10,Ant-Man,2015,https://boxd.it/3vmW,
