Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-12-29,Top 10 Most Anticipated of 2016,,https://boxd.it/yLvE,

Position,Name,Year,URL,Description
1,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,Exceeded hype.
2,Captain America: Civil War,2016,https://boxd.it/89Ja,Exceeded hype
3,Deadpool,2016,https://boxd.it/9fOC,Exceeded hype
4,Doctor Strange,2016,https://boxd.it/8MH8,Lived up to hype
5,Suicide Squad,2016,https://boxd.it/9row,Did not live up to hype
6,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,Huge disappointment
7,X-Men: Apocalypse,2016,https://boxd.it/7eJi,Did not live up to hype
8,Jason Bourne,2016,https://boxd.it/ayYy,Did not live up to hype
9,Assassin's Creed,2016,https://boxd.it/41IK,
10,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,Did not live up to hype
