Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-04-18,Top 10 Trilogies ,,https://boxd.it/FAzY,

Position,Name,Year,URL,Description
1,Star Wars,1977,https://boxd.it/72s,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Toy Story,1995,https://boxd.it/29qA,
5,Toy Story 2,1999,https://boxd.it/29qq,
6,Toy Story 3,2010,https://boxd.it/1WRe,
7,Captain America: The First Avenger,2011,https://boxd.it/28b0,
8,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
9,Captain America: Civil War,2016,https://boxd.it/89Ja,
10,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
11,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
13,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,
14,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,
15,War for the Planet of the Apes,2017,https://boxd.it/8FE2,
16,Batman Begins,2005,https://boxd.it/2aIg,
17,The Dark Knight,2008,https://boxd.it/2b0k,
18,The Dark Knight Rises,2012,https://boxd.it/H3m,
19,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
20,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
21,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
22,The Bourne Identity,2002,https://boxd.it/26EO,
23,The Bourne Supremacy,2004,https://boxd.it/26EE,
24,The Bourne Ultimatum,2007,https://boxd.it/26Eu,
25,Back to the Future,1985,https://boxd.it/2b8e,
26,Back to the Future Part II,1989,https://boxd.it/2aYI,
27,Back to the Future Part III,1990,https://boxd.it/2aTS,
28,Shaun of the Dead,2004,https://boxd.it/29J8,
29,Hot Fuzz,2007,https://boxd.it/2416,
30,The World's End,2013,https://boxd.it/3EiO,
