Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-11,First Reformed,2017,https://boxd.it/4v9bS3,,,,2023-07-05
2023-07-11,Shiva Baby,2020,https://boxd.it/4v9bBL,,,,2023-07-08
2023-07-11,Bodies Bodies Bodies,2022,https://boxd.it/4v9aFR,,,,2023-07-09
2023-07-11,Aftersun,2022,https://boxd.it/4v9aRj,,,,2023-07-09
2023-07-13,The Fabelmans,2022,https://boxd.it/4vydIT,,,,2023-07-11
2023-07-13,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4vDLX9,,,,2023-07-12
2023-07-14,Popstar: Never Stop Never Stopping,2016,https://boxd.it/4vZptl,,Yes,,2023-07-13
2023-07-17,Everything Everywhere All at Once,2022,https://boxd.it/4wWwq7,,Yes,,2023-07-16
2023-07-18,The Flash,2023,https://boxd.it/4xcAb3,,,,2023-07-17
2023-07-18,Jennifer's Body,2009,https://boxd.it/4xgQh5,,,,2023-07-17
2023-07-19,Transformers: Rise of the Beasts,2023,https://boxd.it/4xv1Zb,,,,2023-07-18
2023-07-19,Interstellar,2014,https://boxd.it/4xBCaV,,Yes,,2023-07-18
2023-07-20,Dunkirk,2017,https://boxd.it/4xUi8N,,Yes,,2023-07-19
2023-07-24,Tenet,2020,https://boxd.it/4zHt7t,,Yes,,2023-07-23
2023-07-28,Inception,2010,https://boxd.it/4B4yxV,,Yes,,2023-07-24
2023-07-26,Oppenheimer,2023,https://boxd.it/4ApqM7,,,,2023-07-25
2023-07-28,Under the Silver Lake,2018,https://boxd.it/4Bgbrf,,,,2023-07-27
2023-07-29,They Cloned Tyrone,2023,https://boxd.it/4BBnpn,,,,2023-07-28
2023-08-01,JFK,1991,https://boxd.it/4CPKf3,,,,2023-07-31
2023-08-04,Chernobyl,2019,https://boxd.it/4DJ67v,,,,2023-08-03
2023-08-04,Joy Ride,2023,https://boxd.it/4DMd0H,,,,2023-08-03
2023-08-06,The Irishman,2019,https://boxd.it/4EqTNB,,,,2023-08-05
2023-08-06,Asteroid City,2023,https://boxd.it/4EtRUr,,,,2023-08-05
2023-08-07,Bones and All,2022,https://boxd.it/4ESj0T,,,,2023-08-06
2023-08-08,Good Time,2017,https://boxd.it/4FdjPz,,,,2023-08-07
2023-08-10,Happiness for Beginners,2023,https://boxd.it/4FPGmV,,,,2023-08-09
2023-08-10,Babylon,2022,https://boxd.it/4FPGHp,,,,2023-08-09
2023-08-12,Lady Bird,2017,https://boxd.it/4Gdasv,,Yes,,2023-08-10
2023-08-13,No Hard Feelings,2023,https://boxd.it/4GM767,,,,2023-08-12
2023-08-14,Uncut Gems,2019,https://boxd.it/4Ha7bT,,,,2023-08-13
2023-09-26,Elemental,2023,https://boxd.it/4TRxgT,,,,2023-09-23
2023-09-26,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4TRxxb,,,,2023-09-25
2023-09-28,Theater Camp,2023,https://boxd.it/4Un6wz,,,,2023-09-27
2023-09-30,How to Blow Up a Pipeline,2022,https://boxd.it/4UYVDb,,,,2023-09-29
2023-10-06,Ahsoka,2023,https://boxd.it/4WMPz7,4.5,,,2023-10-03
2023-10-24,Bottoms,2023,https://boxd.it/52MFal,,,,2023-10-22
2023-10-27,Barbie,2023,https://boxd.it/53NYhV,,,,2023-10-26
2023-10-27,The Fall of the House of Usher,2023,https://boxd.it/53NYwV,,,,2023-10-26
2023-11-06,Past Lives,2023,https://boxd.it/57vtWt,,,,2023-11-05
2023-11-11,The Killer,2023,https://boxd.it/58Td1X,,,,2023-11-10
2023-11-12,Vice,2018,https://boxd.it/59heAH,,Yes,,2023-11-11
2023-11-13,The Farewell,2019,https://boxd.it/59G0FD,,,,2023-11-12
2023-11-18,Extraction 2,2023,https://boxd.it/5b8QZl,,,,2023-11-17
2023-11-24,Oppenheimer,2023,https://boxd.it/5d7jVV,,Yes,,2023-11-23
2023-11-26,John Wick: Chapter 4,2023,https://boxd.it/5dODS9,,Yes,,2023-11-24
2023-12-02,The Big Lebowski,1998,https://boxd.it/5fU7j7,4.5,,,2023-12-01
2023-12-02,May December,2023,https://boxd.it/5fU7Kd,4,,,2023-12-02
2023-12-03,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/5gfVQR,3.5,,,2023-12-02
2023-12-11,Mad Max: Fury Road,2015,https://boxd.it/5iOhSV,5,Yes,,2023-12-10
2023-12-12,Leave the World Behind,2023,https://boxd.it/5jr3U7,4,,,2023-12-11
2023-12-28,The Creator,2023,https://boxd.it/5q3LfR,,,,2023-12-27
2024-01-01,The Holdovers,2023,https://boxd.it/5s5SSN,4.5,,,2023-12-31
2024-01-06,Saltburn,2023,https://boxd.it/5vDvfN,,,,2024-01-05
2024-01-06,A Thousand and One,2023,https://boxd.it/5vKARr,,,,2024-01-05
2024-01-13,Godzilla Minus One,2023,https://boxd.it/5zUTzx,,,,2024-01-12
2024-01-16,Killers of the Flower Moon,2023,https://boxd.it/5BJ0uj,,,,2024-01-15
2024-01-31,Rise of the Planet of the Apes,2011,https://boxd.it/5J7zFR,,Yes,,2024-01-28
2024-01-31,Dawn of the Planet of the Apes,2014,https://boxd.it/5Jc8IT,,Yes,,2024-01-30
2024-02-04,Poor Things,2023,https://boxd.it/5L2h2F,,,,2024-02-03
2024-02-06,Dune,2021,https://boxd.it/5LYVfZ,,Yes,,2024-02-05
2024-02-10,The Marvels,2023,https://boxd.it/5NCyvz,,,,2024-02-09
2024-02-22,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/5SWZqh,,Yes,,2024-02-19
2024-02-22,Iron Man,2008,https://boxd.it/5SWZUB,,Yes,,2024-02-19
2024-02-22,Deadpool,2016,https://boxd.it/5SX089,,Yes,,2024-02-20
2024-02-22,Deadpool 2,2018,https://boxd.it/5SX0it,,Yes,,2024-02-20
2024-02-24,War for the Planet of the Apes,2017,https://boxd.it/5U2Gi5,,Yes,,2024-02-23
2024-02-27,Superman: Man of Tomorrow,2020,https://boxd.it/5VgZaV,,,,2024-02-24
2024-02-26,The Zone of Interest,2023,https://boxd.it/5URDTf,,,,2024-02-25
2024-03-04,Dune: Part Two,2024,https://boxd.it/5Y8Q41,,,,2024-03-03
2024-03-20,Hereditary,2018,https://boxd.it/65SdlR,,,,2024-03-19
2024-03-23,Anatomy of a Fall,2023,https://boxd.it/66XhoJ,,,,2024-03-22
2024-03-28,Dream Scenario,2023,https://boxd.it/69pYXr,,,,2024-03-27
2024-05-26,Anyone But You,2023,https://boxd.it/6y0Cdh,,,,2024-04-10
2024-04-21,Civil War,2024,https://boxd.it/6jn7vZ,,,,2024-04-19
2024-05-26,Challengers,2024,https://boxd.it/6y0AFN,,,,2024-05-25
2024-06-22,Hit Man,2023,https://boxd.it/6IDlKV,,,,2024-06-08
2024-06-22,Love Lies Bleeding,2024,https://boxd.it/6IDmaJ,,,,2024-06-14
2024-07-01,Furiosa: A Mad Max Saga,2024,https://boxd.it/6MuUB3,,,,2024-06-30
2024-07-08,Godzilla × Kong: The New Empire,2024,https://boxd.it/6PbJPd,,,,2024-07-06
2024-07-09,The Girl with the Dragon Tattoo,2011,https://boxd.it/6Q74jV,4.5,Yes,,2024-07-08
2024-07-23,Inside Out 2,2024,https://boxd.it/6W9IjT,,,,2024-07-11
2024-07-19,Monkey Man,2024,https://boxd.it/6Uqr1p,,,,2024-07-18
2024-07-31,Deadpool & Wolverine,2024,https://boxd.it/6ZJ2z5,,,,2024-07-28
2024-08-20,Kingdom of the Planet of the Apes,2024,https://boxd.it/78VKTt,,,,2024-08-16
2024-08-20,Prometheus,2012,https://boxd.it/78VLQl,,Yes,,2024-08-17
2024-08-20,Alien: Covenant,2017,https://boxd.it/78VM9R,,Yes,,2024-08-18
2024-08-20,Alien,1979,https://boxd.it/78VMyx,,Yes,,2024-08-19
2024-08-22,Aliens,1986,https://boxd.it/79sRZ5,,Yes,,2024-08-20
2024-08-25,No One Will Save You,2023,https://boxd.it/7aR01v,,,,2024-08-22
2024-08-25,Alien³,1992,https://boxd.it/7aR0pn,,,,2024-08-23
2024-08-26,Alien Resurrection,1997,https://boxd.it/7bh28P,,,,2024-08-24
2024-09-12,Rebel Ridge,2024,https://boxd.it/7jmL2p,4.5,,,2024-09-11
2024-10-18,Alien: Romulus,2024,https://boxd.it/7A1hGl,,,,2024-10-17
2024-10-22,The Batman,2022,https://boxd.it/7Cfq21,4.5,Yes,,2024-10-21
2024-11-04,Transformers One,2024,https://boxd.it/7IJLDr,,,,2024-11-02
2024-11-10,Trap,2024,https://boxd.it/7LP83t,,,,2024-11-07
2024-11-10,Babes,2024,https://boxd.it/7LP90b,,,,2024-11-08
2025-02-11,Carry-On,2024,https://boxd.it/8NjrYl,,,,2024-12-28
2025-02-13,The Fall Guy,2024,https://boxd.it/8OsCAV,,,,2025-02-11
2025-02-25,Smile 2,2024,https://boxd.it/8WsnwB,,,,2025-02-22
2025-02-28,Captain America: Brave New World,2025,https://boxd.it/8Yg18r,,,,2025-02-26
2025-05-04,Longlegs,2024,https://boxd.it/9AO55L,,,,2025-05-02
2025-05-04,Thunderbolts*,2025,https://boxd.it/9AO5wx,,,,2025-05-03
2025-05-09,The Substance,2024,https://boxd.it/9E7iKn,,,,2025-05-03
2025-05-11,The Wild Robot,2024,https://boxd.it/9EGZzd,,,,2025-05-10
2025-05-11,Companion,2025,https://boxd.it/9FaaGR,,,,2025-05-10
2025-06-14,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9ZPMf7,,,,2025-06-13
2025-09-03,Friendship,2024,https://boxd.it/aWQw09,,,,2025-06-14
2025-06-19,Sinners,2025,https://boxd.it/a37id9,,,,2025-06-18
2025-10-16,Heads of State,2025,https://boxd.it/bnNxFp,,,,2025-07-10
2025-07-12,Superman,2025,https://boxd.it/aiYq0X,,,,2025-07-11
2025-09-03,The Fantastic 4: First Steps,2025,https://boxd.it/aWQp3P,,,,2025-07-30
2025-09-03,Materialists,2025,https://boxd.it/aWQ6Ox,,,,2025-08-29
2025-10-08,Elio,2025,https://boxd.it/biHGzN,,,,2025-09-17
2025-09-27,One Battle After Another,2025,https://boxd.it/bbH54l,5,,,2025-09-26
2025-10-08,The Naked Gun,2025,https://boxd.it/biHEtt,,,,2025-09-27
2025-10-07,Novocaine,2025,https://boxd.it/biguS5,,,,2025-10-04
2025-10-06,Black Bag,2025,https://boxd.it/bhzHbx,,,,2025-10-05
2025-10-08,Honey Don't!,2025,https://boxd.it/biKUSP,,,,2025-10-07
2025-10-09,Ballerina,2025,https://boxd.it/bjlaDN,,,,2025-10-08
2025-10-17,Splitsville,2025,https://boxd.it/bo4gbh,,,,2025-10-15
2025-10-22,Mickey 17,2025,https://boxd.it/brY5nv,,,,2025-10-21
2025-10-28,A House of Dynamite,2025,https://boxd.it/bwc82T,,,,2025-10-27
2025-10-29,Ant-Man,2015,https://boxd.it/bwT8xj,,Yes,,2025-10-28
2025-11-02,Jurassic World Rebirth,2025,https://boxd.it/bzFuqj,,,,2025-11-01
2025-11-15,Eddington,2025,https://boxd.it/bIytnl,,,,2025-11-14
2025-11-30,The Polar Express,2004,https://boxd.it/bSvphn,,Yes,,2025-11-29
2025-12-13,Wake Up Dead Man,2025,https://boxd.it/c1MZGt,,,,2025-12-12
2026-01-01,F1,2025,https://boxd.it/cm2ip7,,,,2025-12-31
2026-01-02,One Battle After Another,2025,https://boxd.it/cntXif,5,Yes,,2026-01-01
2026-01-08,Bugonia,2025,https://boxd.it/cw8NJ5,,,,2026-01-07
2026-01-21,Weapons,2025,https://boxd.it/cKwEvd,,,,2026-01-20
2026-01-27,The Rip,2026,https://boxd.it/cR0JgV,,,,2026-01-26
2026-02-13,The Running Man,2025,https://boxd.it/d6C3gl,,,,2026-02-11
2026-02-23,Predator: Badlands,2025,https://boxd.it/dgD9Fj,,,,2026-02-12
2026-02-23,Predator,1987,https://boxd.it/dgD0UJ,,Yes,,2026-02-21
2026-03-05,Predator 2,1990,https://boxd.it/doODWX,,,,2026-02-22
2026-03-03,Predators,2010,https://boxd.it/dnlzU7,,Yes,,2026-02-28
2026-03-05,The Predator,2018,https://boxd.it/doOEB7,,Yes,,2026-03-03
2026-03-05,Prey,2022,https://boxd.it/doOCxn,,Yes,,2026-03-04
