Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-12,"29 Years, 29 Movies",,https://boxd.it/ox9GS,My favorite movie from every year since I've been born

Position,Name,Year,URL,Description
1,Toy Story,1995,https://boxd.it/29qA,
2,Fargo,1996,https://boxd.it/2aHM,
3,Good Will Hunting,1997,https://boxd.it/2ahY,
4,Saving Private Ryan,1998,https://boxd.it/29ro,
5,Fight Club,1999,https://boxd.it/2a9q,
6,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS,
7,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
8,Spider-Man,2002,https://boxd.it/2a8i,
9,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
10,The Incredibles,2004,https://boxd.it/1XLm,
11,Batman Begins,2005,https://boxd.it/2aIg,
12,The Departed,2006,https://boxd.it/28MA,
13,Zodiac,2007,https://boxd.it/27MO,
14,The Dark Knight,2008,https://boxd.it/2b0k,
15,Inglourious Basterds,2009,https://boxd.it/1JzG,
16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
17,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
18,The Avengers,2012,https://boxd.it/1xFW,
19,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
20,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
21,The Martian,2015,https://boxd.it/8SeG,
22,Arrival,2016,https://boxd.it/aNGk,
23,Blade Runner 2049,2017,https://boxd.it/b8wK,
24,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
25,Knives Out,2019,https://boxd.it/jWEA,
26,Palm Springs,2020,https://boxd.it/lCXQ,
27,Dune,2021,https://boxd.it/fA7G,
28,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
29,Challengers,2024,https://boxd.it/zld0,
