Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-08-02,Fox-Marvel Films Ranked,,https://boxd.it/qS4E,

Position,Name,Year,URL,Description
1,Deadpool,2016,https://boxd.it/9fOC,
2,Logan,2017,https://boxd.it/7Piy,
3,Deadpool 2,2018,https://boxd.it/dlLM,
4,X-Men: First Class,2011,https://boxd.it/FOA,
5,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
6,X-Men,2000,https://boxd.it/1a7s,
7,The Wolverine,2013,https://boxd.it/2CWU,
8,X2,2003,https://boxd.it/1a7i,
9,Dark Phoenix,2019,https://boxd.it/anyO,
10,X-Men: Apocalypse,2016,https://boxd.it/7eJi,
11,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,
12,Fantastic Four,2005,https://boxd.it/1XVw,
13,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,
14,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,
15,Fantastic Four,2015,https://boxd.it/5a9c,
