Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-14,MCU Combined Ranked,,https://boxd.it/dnT9m,

Position,Name,Year,URL,Description
1,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
2,Avengers: Infinity War,2018,https://boxd.it/9vEe,
3,Avengers: Endgame,2019,https://boxd.it/9vE4,
4,Captain America: Civil War,2016,https://boxd.it/89Ja,
5,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
6,Iron Man,2008,https://boxd.it/28dA,
7,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
8,Thor: Ragnarok,2017,https://boxd.it/8MHi,
9,The Avengers,2012,https://boxd.it/1xFW,
10,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
11,Loki,2021,https://boxd.it/sbHg,
12,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
13,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
14,Black Panther,2018,https://boxd.it/8MHs,
15,WandaVision,2021,https://boxd.it/sbGW,
16,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
17,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
18,Moon Knight,2022,https://boxd.it/zeDq,
19,Captain America: The First Avenger,2011,https://boxd.it/28b0,
20,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,
21,Ant-Man,2015,https://boxd.it/3vmW,
22,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
23,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
24,Hawkeye,2021,https://boxd.it/xQqK,
25,Black Widow,2021,https://boxd.it/hWV8,
26,Captain Marvel,2019,https://boxd.it/9vSA,
27,Eternals,2021,https://boxd.it/j36o,
28,Doctor Strange,2016,https://boxd.it/8MH8,
29,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
30,Iron Man 3,2013,https://boxd.it/2cBQ,
31,Thor,2011,https://boxd.it/1WQU,
32,Iron Man 2,2010,https://boxd.it/1WZM,
33,The Incredible Hulk,2008,https://boxd.it/28dU,
34,Thor: The Dark World,2013,https://boxd.it/2DqA,
