Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-08,The Lonely Island Films Ranked,,https://boxd.it/7Dnrw,

Position,Name,Year,URL,Description
1,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
2,Palm Springs,2020,https://boxd.it/lCXQ,
3,MacGruber,2010,https://boxd.it/17ay,
4,Hot Rod,2007,https://boxd.it/1X9C,
5,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,https://boxd.it/mihs,
6,Brigsby Bear,2017,https://boxd.it/ebkS,
7,The Watch,2012,https://boxd.it/2MZk,
