Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-09-07,Top 10 DC Animated Movies,,https://boxd.it/s314,

Position,Name,Year,URL,Description
1,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
2,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS,
3,Batman: Under the Red Hood,2010,https://boxd.it/11eE,
4,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW,
5,"Batman: The Dark Knight Returns, Part 1",2012,https://boxd.it/43Is,
6,Batman: Assault on Arkham,2014,https://boxd.it/787M,
7,Batman & Mr. Freeze: SubZero,1998,https://boxd.it/1Luo,
8,Justice League: Doom,2012,https://boxd.it/2DVe,
9,Batman: Year One,2011,https://boxd.it/2vf0,
10,Justice League: The New Frontier,2008,https://boxd.it/1OVM,
