Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-08-04,Batman Films Ranked,,https://boxd.it/1bDxU,

Position,Name,Year,URL,Description
1,The Dark Knight,2008,https://boxd.it/2b0k,
2,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
3,Batman Begins,2005,https://boxd.it/2aIg,
4,The Lego Batman Movie,2017,https://boxd.it/azp0,
5,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS,
6,Batman: Under the Red Hood,2010,https://boxd.it/11eE,
7,Batman,1989,https://boxd.it/2aIU,
8,"Batman: The Dark Knight Returns, Part 1",2012,https://boxd.it/43Is,And Part 2
9,Batman: Assault on Arkham,2014,https://boxd.it/787M,
10,Batman & Mr. Freeze: SubZero,1998,https://boxd.it/1Luo,
11,Batman: Year One,2011,https://boxd.it/2vf0,
12,The Dark Knight Rises,2012,https://boxd.it/H3m,
13,Batman,1966,https://boxd.it/26uO,
14,Batman: The Killing Joke,2016,https://boxd.it/djxe,
15,Batman Returns,1992,https://boxd.it/2awa,
16,Son of Batman,2014,https://boxd.it/7mQm,
17,Batman: Bad Blood,2016,https://boxd.it/cI0W,
18,Batman vs. Robin,2015,https://boxd.it/aqNs,
19,Batman: Mystery of the Batwoman,2003,https://boxd.it/1BwO,
20,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
21,Batman Forever,1995,https://boxd.it/2ara,
22,Batman & Robin,1997,https://boxd.it/2ar0,
