Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-24,Most Anticipated of 2018,,https://boxd.it/1aGc4,

Position,Name,Year,URL,Description
1,Avengers: Infinity War,2018,https://boxd.it/9vEe,Exceeded expectations
2,Ready Player One,2018,https://boxd.it/aZes,Slightly underwhelmed. Still acceptable.
3,Black Panther,2018,https://boxd.it/8MHs,Exceeded hype
4,Incredibles 2,2018,https://boxd.it/7IPg,
5,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,Slightly exceeded expectations
6,Deadpool 2,2018,https://boxd.it/dlLM,Exceeded expectations
7,Aquaman,2018,https://boxd.it/9ru0,
8,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
9,The Predator,2018,https://boxd.it/bDw2,
10,Dark Phoenix,2019,https://boxd.it/anyO,Got pushed back to 2019 LOL
