Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-12-22,Movies of 2016 I Still Need To See,,https://boxd.it/SLPu,

Position,Name,Year,URL,Description
1,Silence,2016,https://boxd.it/2cAo,"Theaters currently in:
NCG Eastwood
Celebration Lansing"
2,A Monster Calls,2016,https://boxd.it/7DjE,"Theaters currently in:
NCG Eastwood
NCG Trillium
Celebration Lansing"
3,Jackie,2016,https://boxd.it/d6bu,"Theaters currently in:
NCG Eastwood"
4,Don't Think Twice,2016,https://boxd.it/c3W6,Available on-demand
5,Fences,2016,https://boxd.it/dL6A,"Theaters currently in:
NCG Eastwood
NCG Trillium
Celebration Lansing"
6,Patriots Day,2016,https://boxd.it/dyo2,"Theaters currently in:
NCG Eastwood
NCG Trillium
Celebration Lansing

(also TPB)"
7,Live by Night,2016,https://boxd.it/7GJA,"Theaters currently in:
NCG Eastwood
NCG Trillium
Celebration Lansing"
8,The Birth of a Nation,2016,https://boxd.it/bhFQ,Available on-demand.
9,Loving,2016,https://boxd.it/bhHC,
10,The Founder,2016,https://boxd.it/9XwM,
11,Assassin's Creed,2016,https://boxd.it/41IK,
