Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-12-17,Order to watch the Star Wars movies (as a superfan),,https://boxd.it/Ss90,

Position,Name,Year,URL,Description
1,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
2,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
3,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
4,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
5,Star Wars,1977,https://boxd.it/72s,
6,The Empire Strikes Back,1980,https://boxd.it/27Vw,
7,Return of the Jedi,1983,https://boxd.it/27Vm,
8,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
9,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
