Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-04-20,Upcoming MCU Films,,https://boxd.it/1HM8e,

Position,Name,Year,URL,Description
1,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,
2,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
3,The Marvels,2023,https://boxd.it/mwU4,
4,Captain America: Brave New World,2025,https://boxd.it/uYDm,
5,Thunderbolts*,2025,https://boxd.it/BfbQ,
6,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
7,Blade,,https://boxd.it/mOS6,
8,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
9,Avengers: Doomsday,2026,https://boxd.it/BVqy,
10,Avengers: Secret Wars,2027,https://boxd.it/BVqI,
