Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-01,2024 Remaining Watch List,,https://boxd.it/BSEOi,

Position,Name,Year,URL,Description
1,No Other Land,2024,https://boxd.it/KOTG,
2,Anora,2024,https://boxd.it/Egcw,
3,The Brutalist,2024,https://boxd.it/k4BO,
4,A Real Pain,2024,https://boxd.it/CjNG,
5,Nickel Boys,2024,https://boxd.it/CStQ,
6,I Saw the TV Glow,2024,https://boxd.it/woVe,
7,Conclave,2024,https://boxd.it/AO8q,
8,Nosferatu,2024,https://boxd.it/f5eG,
9,Saturday Night,2024,https://boxd.it/Gpfo,
10,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs,
11,A Complete Unknown,2024,https://boxd.it/oBYa,
12,I'm Still Here,2024,https://boxd.it/BPEO,
