Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-12-22,Kayla's Star Wars Ranks,,https://boxd.it/4ov7W,

Position,Name,Year,URL,Description
1,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Star Wars,1977,https://boxd.it/72s,
5,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
6,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
7,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,
8,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
9,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,
10,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
11,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
