Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-06-12,MCU Ranked,"mcu, marvel, iron man, captain america, thor, spiderman, spider-man, spider man, ant-man, ant man, antman, guardians of the galaxy, gotg, avengers, infinity war, black panther, doctor strange, hulk",https://boxd.it/pj8Y,

Position,Name,Year,URL,Description
1,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
2,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
3,Avengers: Infinity War,2018,https://boxd.it/9vEe,
4,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
5,Iron Man,2008,https://boxd.it/28dA,
6,Captain America: Civil War,2016,https://boxd.it/89Ja,
7,The Avengers,2012,https://boxd.it/1xFW,
8,Avengers: Endgame,2019,https://boxd.it/9vE4,
9,Thor: Ragnarok,2017,https://boxd.it/8MHi,
10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
11,Black Panther,2018,https://boxd.it/8MHs,
12,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
13,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
14,Thunderbolts*,2025,https://boxd.it/BfbQ,
15,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,
16,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
17,Captain America: The First Avenger,2011,https://boxd.it/28b0,
18,Ant-Man,2015,https://boxd.it/3vmW,
19,Iron Man 3,2013,https://boxd.it/2cBQ,
20,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
21,Doctor Strange,2016,https://boxd.it/8MH8,
22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
23,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
24,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
25,Thor,2011,https://boxd.it/1WQU,
26,The Marvels,2023,https://boxd.it/mwU4,
27,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
28,Eternals,2021,https://boxd.it/j36o,
29,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
30,The Incredible Hulk,2008,https://boxd.it/28dU,
31,Black Widow,2021,https://boxd.it/hWV8,
32,Iron Man 2,2010,https://boxd.it/1WZM,
33,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
34,Captain Marvel,2019,https://boxd.it/9vSA,
35,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,
36,Captain America: Brave New World,2025,https://boxd.it/uYDm,
37,Thor: The Dark World,2013,https://boxd.it/2DqA,
