Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-06,Predator Franchise Ranked,,https://boxd.it/hJyca,

Position,Name,Year,URL,Description
1,Prey,2022,https://boxd.it/sNBU,
2,Predator: Badlands,2025,https://boxd.it/LeK6,
3,Predator,1987,https://boxd.it/2b84,
4,Predator: Killer of Killers,2025,https://boxd.it/QYvQ,
5,Predators,2010,https://boxd.it/1d9m,
6,The Predator,2018,https://boxd.it/bDw2,
7,AVP: Alien vs. Predator,2004,https://boxd.it/2atU,
8,Predator 2,1990,https://boxd.it/2aY4,
9,Aliens vs Predator: Requiem,2007,https://boxd.it/2ans,
