Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-08,Spider-Man Movies Ranked,,https://boxd.it/19eXu,

Position,Name,Year,URL,Description
1,Spider-Man 2,2004,https://boxd.it/2a88,
2,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
3,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
4,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
5,Spider-Man,2002,https://boxd.it/2a8i,
6,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
7,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
8,The Amazing Spider-Man,2012,https://boxd.it/27PI,
9,Spider-Man 3,2007,https://boxd.it/2a7Y,
10,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
