Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-30,Top 50,,https://boxd.it/ofmsS,

Position,Name,Year,URL,Description
1,Alien,1979,https://boxd.it/2awY,
2,The Avengers,2012,https://boxd.it/1xFW,
3,Avengers: Infinity War,2018,https://boxd.it/9vEe,
4,Back to the Future,1985,https://boxd.it/2b8e,
5,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
6,Blade Runner 2049,2017,https://boxd.it/b8wK,
7,The Bourne Ultimatum,2007,https://boxd.it/26Eu,
8,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
9,The Dark Knight,2008,https://boxd.it/2b0k,
10,The Departed,2006,https://boxd.it/28MA,
11,Django Unchained,2012,https://boxd.it/2cCk,
12,Dune,2021,https://boxd.it/fA7G,
13,The Empire Strikes Back,1980,https://boxd.it/27Vw,
14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
15,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
16,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
17,Fight Club,1999,https://boxd.it/2a9q,
18,Good Will Hunting,1997,https://boxd.it/2ahY,
19,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
20,Hot Fuzz,2007,https://boxd.it/2416,
21,Inception,2010,https://boxd.it/1skk,
22,Inglourious Basterds,2009,https://boxd.it/1JzG,
23,Inside Out,2015,https://boxd.it/4KHC,
24,Iron Man,2008,https://boxd.it/28dA,
25,Knives Out,2019,https://boxd.it/jWEA,
26,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
27,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
28,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
29,The Martian,2015,https://boxd.it/8SeG,
30,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,
31,Moneyball,2011,https://boxd.it/glS,
32,The Nice Guys,2016,https://boxd.it/94Hg,
33,Oppenheimer,2023,https://boxd.it/wUow,
34,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
35,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
36,Saving Private Ryan,1998,https://boxd.it/29ro,
37,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
38,The Silence of the Lambs,1991,https://boxd.it/2aHW,
39,Skyfall,2012,https://boxd.it/17Fc,
40,The Social Network,2010,https://boxd.it/17ue,
41,Spider-Man 2,2004,https://boxd.it/2a88,
42,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
43,Star Wars,1977,https://boxd.it/72s,
44,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
45,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
46,Toy Story,1995,https://boxd.it/29qA,
47,Toy Story 2,1999,https://boxd.it/29qq,
48,Whiplash,2014,https://boxd.it/7bQA,
49,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
50,Zodiac,2007,https://boxd.it/27MO,
