Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-27,Watchlist,,https://boxd.it/faZKK,

Position,Name,Year,URL,Description
1,RRR,2022,https://boxd.it/ljDs,Netflix
2,Decision to Leave,2022,https://boxd.it/qp9e,Rent
3,All Quiet on the Western Front,2022,https://boxd.it/H08,Netflix
4,Babylon,2022,https://boxd.it/mM02,Rent
5,Armageddon Time,2022,https://boxd.it/mLRk,Rent
6,Saint Omer,2022,https://boxd.it/yShC,Rent
7,All the Beauty and the Bloodshed,2022,https://boxd.it/BYjU,Will be on HBO Max
8,Aftersun,2022,https://boxd.it/Arw0,Rent
9,Breaking,2022,https://boxd.it/ubgy,Showtime
10,Bones and All,2022,https://boxd.it/tLd4,Rent
11,After Yang,2021,https://boxd.it/lx5a,Rent
12,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,Rent
13,The Black Phone,2021,https://boxd.it/sqFE,Prime
14,The Card Counter,2021,https://boxd.it/nTH0,
15,The Green Knight,2021,https://boxd.it/kuy2,
16,King Richard,2021,https://boxd.it/mJZ2,
17,The Last Duel,2021,https://boxd.it/mQbe,HBO Max
18,The Matrix Resurrections,2021,https://boxd.it/n87k,
19,The Power of the Dog,2021,https://boxd.it/m99E,Netflix
20,Werewolves Within,2021,https://boxd.it/u8fC,Showtime
21,Nightmare Alley,2021,https://boxd.it/m0HC,HBO Max & Hulu
22,Zola,2020,https://boxd.it/jEWQ,Showtime
23,The Lighthouse,2019,https://boxd.it/icFU,
24,Little Women,2019,https://boxd.it/aSVk,
25,First Reformed,2017,https://boxd.it/go9C,
26,Widows,2018,https://boxd.it/e6gc,
