Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-12-10,All Movies on My 2017 Watchlist,,https://boxd.it/S0JE,

Position,Name,Year,URL,Description
1,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
2,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
3,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
4,Thor: Ragnarok,2017,https://boxd.it/8MHi,
5,Wonder Woman,2017,https://boxd.it/9roG,
6,Logan,2017,https://boxd.it/7Piy,
7,War for the Planet of the Apes,2017,https://boxd.it/8FE2,
8,Dunkirk,2017,https://boxd.it/d0Y6,
9,Justice League,2017,https://boxd.it/4w68,
10,Kong: Skull Island,2017,https://boxd.it/9ewM,
11,Alien: Covenant,2017,https://boxd.it/49UY,
12,The Lego Batman Movie,2017,https://boxd.it/azp0,
13,John Wick: Chapter 2,2017,https://boxd.it/ayGu,
14,Beauty and the Beast,2017,https://boxd.it/ar0c,
15,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,
16,Annihilation,2018,https://boxd.it/9yzm,
17,Blade Runner 2049,2017,https://boxd.it/b8wK,
18,Mute,2018,https://boxd.it/e6nW,
19,Baby Driver,2017,https://boxd.it/bhF2,
20,Ghost in the Shell,2017,https://boxd.it/abTA,
21,The Mummy,2017,https://boxd.it/8HnW,
22,The Dark Tower,2017,https://boxd.it/bU66,
23,T2 Trainspotting,2017,https://boxd.it/5vTA,
24,The Great Wall,2016,https://boxd.it/a04c,
25,Despicable Me 3,2017,https://boxd.it/azpu,
26,Logan Lucky,2017,https://boxd.it/dZrs,
27,Song to Song,2017,https://boxd.it/aR5C,
28,Free Fire,2016,https://boxd.it/b2Ig,
29,The Circle,2017,https://boxd.it/bj1I,
30,American Made,2017,https://boxd.it/bb66,
31,Atomic Blonde,2017,https://boxd.it/blDk,
32,Rough Night,2017,https://boxd.it/dV0W,
33,Gifted,2017,https://boxd.it/e5dG,
34,Captain Underpants: The First Epic Movie,2017,https://boxd.it/8312,
35,The Snowman,2017,https://boxd.it/cVcc,
36,Murder on the Orient Express,2017,https://boxd.it/dHjA,
37,Coco,2017,https://boxd.it/bYJQ,
38,Downsizing,2017,https://boxd.it/9Ajq,
39,The Greatest Showman,2017,https://boxd.it/acjI,
40,The Discovery,2017,https://boxd.it/d4gC,
41,Wind River,2017,https://boxd.it/dR3i,
42,Stronger,2017,https://boxd.it/dRqQ,
43,Billionaire Boys Club,2018,https://boxd.it/dqUY,
44,Hostiles,2017,https://boxd.it/dpiO,
45,Molly's Game,2017,https://boxd.it/dSl8,
46,Battle of the Sexes,2017,https://boxd.it/cNxw,
47,Euphoria,2017,https://boxd.it/el38,
48,The Current War,2017,https://boxd.it/eNvO,
49,Mary Magdalene,2018,https://boxd.it/el2Y,
50,The Glass Castle,2017,https://boxd.it/b8za,
51,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
52,A Ghost Story,2017,https://boxd.it/fb0K,
53,Under the Silver Lake,2018,https://boxd.it/dSAs,
54,Suburbicon,2017,https://boxd.it/dQ8Q,
55,Wonderstruck,2017,https://boxd.it/dmG4,
56,Okja,2017,https://boxd.it/dvXe,
57,Submergence,2017,https://boxd.it/d2ja,
58,Goodbye Christopher Robin,2017,https://boxd.it/eMZS,
