Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-06-06,Emma Stone Ranked,,https://boxd.it/1Ok8k,

Position,Name,Year,URL,Description
1,La La Land,2016,https://boxd.it/a5fa,
2,Superbad,2007,https://boxd.it/20hO,
3,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
4,The Favourite,2018,https://boxd.it/d2hI,
5,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
6,Zombieland,2009,https://boxd.it/1En6,
7,Easy A,2010,https://boxd.it/17DK,
8,Battle of the Sexes,2017,https://boxd.it/cNxw,
9,The Help,2011,https://boxd.it/EDm,
10,The Amazing Spider-Man,2012,https://boxd.it/27PI,
11,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
12,Gangster Squad,2013,https://boxd.it/2TVa,
