Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-07-07,Paul Rudd Ranked,,https://boxd.it/1SjNu,

Position,Name,Year,URL,Description
1,Ant-Man,2015,https://boxd.it/3vmW,
2,"I Love You, Man",2009,https://boxd.it/1JZu,
3,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
4,Role Models,2008,https://boxd.it/1MmK,
5,The Fundamentals of Caring,2016,https://boxd.it/aiai,
6,Captain America: Civil War,2016,https://boxd.it/89Ja,
7,The 40 Year Old Virgin,2005,https://boxd.it/21hK,
8,Mute,2018,https://boxd.it/e6nW,
9,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
10,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,
11,Anchorman 2: The Legend Continues,2013,https://boxd.it/3GNk,
