Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-11-29,Top 10 Most Anticipated 2017,,https://boxd.it/RltU,

Position,Name,Year,URL,Description
1,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,Exceeded hype
2,Spider-Man: Homecoming,2017,https://boxd.it/aboM,Lived up to hype
3,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,Lived up to hype
4,Thor: Ragnarok,2017,https://boxd.it/8MHi,Exceeded hype
5,Logan,2017,https://boxd.it/7Piy,Exceeded hype
6,War for the Planet of the Apes,2017,https://boxd.it/8FE2,Lived up to hype
7,Dunkirk,2017,https://boxd.it/d0Y6,Slightly underwhelmed
8,Wonder Woman,2017,https://boxd.it/9roG,Exceeded hype
9,Justice League,2017,https://boxd.it/4w68,Fairly underwhelmed. Not as bad as it could have been.
10,Kong: Skull Island,2017,https://boxd.it/9ewM,Lived up to hype
11,Alien: Covenant,2017,https://boxd.it/49UY,Slightly underwhelmed
