Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-20,Alien Ranked,,https://boxd.it/y4Kla,

Position,Name,Year,URL,Description
1,Alien,1979,https://boxd.it/2awY,
2,Alien: Covenant,2017,https://boxd.it/49UY,
3,Prometheus,2012,https://boxd.it/2s9e,
4,Alien: Romulus,2024,https://boxd.it/zGqO,
5,Aliens,1986,https://boxd.it/29PA,
6,Alien Resurrection,1997,https://boxd.it/20zI,
7,Alien³,1992,https://boxd.it/20zS,
8,Aliens vs Predator: Requiem,2007,https://boxd.it/2ans,
9,AVP: Alien vs. Predator,2004,https://boxd.it/2atU,
