Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-11-20,DCEU Ranked,,https://boxd.it/1kPCg,

Position,Name,Year,URL,Description
1,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
2,The Suicide Squad,2021,https://boxd.it/fw6O,
3,Wonder Woman,2017,https://boxd.it/9roG,
4,Man of Steel,2013,https://boxd.it/FRk,
5,Shazam!,2019,https://boxd.it/8WBu,
6,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
7,Aquaman,2018,https://boxd.it/9ru0,
8,The Flash,2023,https://boxd.it/9twC,
9,Wonder Woman 1984,2020,https://boxd.it/gBtA,
10,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,
11,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
12,Justice League,2017,https://boxd.it/4w68,
13,Suicide Squad,2016,https://boxd.it/9row,
