Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-29,Movies Ellie Has Seen,,https://boxd.it/P7EUM,Important movies I have watched with Ellie

Position,Name,Year,URL,Description
1,Toy Story,1995,https://boxd.it/29qA,
2,Toy Story 2,1999,https://boxd.it/29qq,
3,Toy Story 3,2010,https://boxd.it/1WRe,
4,Toy Story 4,2019,https://boxd.it/9ALu,
5,A Bug's Life,1998,https://boxd.it/1Yyy,
6,Cars,2006,https://boxd.it/29ho,
7,Cars 2,2011,https://boxd.it/H4Y,
8,Cars 3,2017,https://boxd.it/7IPq,
9,Turning Red,2022,https://boxd.it/ipkq,
10,"Monsters, Inc.",2001,https://boxd.it/2a46,
11,Monsters University,2013,https://boxd.it/bQm,
12,Ratatouille,2007,https://boxd.it/27ww,
13,WALL·E,2008,https://boxd.it/1VEo,
14,The Incredibles,2004,https://boxd.it/1XLm,
15,Incredibles 2,2018,https://boxd.it/7IPg,
16,Brave,2012,https://boxd.it/bVG,
17,Elio,2025,https://boxd.it/CFr8,
18,Finding Nemo,2003,https://boxd.it/72i,
19,Finding Dory,2016,https://boxd.it/4aAA,
20,Frozen,2013,https://boxd.it/3GNa,
21,Frozen II,2019,https://boxd.it/aPvo,
22,Tangled,2010,https://boxd.it/15gO,
23,Lilo & Stitch,2002,https://boxd.it/1TAY,
24,Moana,2016,https://boxd.it/8tfY,
25,Moana 2,2024,https://boxd.it/LcjW,
26,Despicable Me,2010,https://boxd.it/1DD8,
27,Despicable Me 2,2013,https://boxd.it/3gg0,
28,Despicable Me 3,2017,https://boxd.it/azpu,
29,Despicable Me 4,2024,https://boxd.it/iOLG,
30,Minions,2015,https://boxd.it/6jCO,
31,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,
32,Paddington,2014,https://boxd.it/3RKw,
33,My Neighbor Totoro,1988,https://boxd.it/20eA,
34,Lilo & Stitch,2025,https://boxd.it/kbUe,
35,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,
36,Cloudy with a Chance of Meatballs 2,2013,https://boxd.it/3GMw,
37,The Lego Movie,2014,https://boxd.it/4pDO,
38,The Lego Batman Movie,2017,https://boxd.it/azp0,
39,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
40,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
