Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-09,2023 Watch List,,https://boxd.it/mHMFG,

Position,Name,Year,URL,Description
1,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,Rent
2,Past Lives,2023,https://boxd.it/oNB8,
3,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,
4,The Flash,2023,https://boxd.it/9twC,
5,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,
6,Joy Ride,2023,https://boxd.it/wEeK,
7,Asteroid City,2023,https://boxd.it/s3ds,
8,Elemental,2023,https://boxd.it/ASiE,
9,No Hard Feelings,2023,https://boxd.it/xouu,
