Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-01-08,Best of the 2010's,,https://boxd.it/4xM1E,

Position,Name,Year,URL,Description
1,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
2,Blade Runner 2049,2017,https://boxd.it/b8wK,
3,Whiplash,2014,https://boxd.it/7bQA,
4,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
5,Inception,2010,https://boxd.it/1skk,
6,The Social Network,2010,https://boxd.it/17ue,
7,The Martian,2015,https://boxd.it/8SeG,
8,Avengers: Infinity War,2018,https://boxd.it/9vEe,
9,Arrival,2016,https://boxd.it/aNGk,
10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
