Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-10-04,Modern Sci-Fi,,https://boxd.it/41JrA,

Position,Name,Year,URL,Description
1,Blade Runner 2049,2017,https://boxd.it/b8wK,
2,The Martian,2015,https://boxd.it/8SeG,
3,Arrival,2016,https://boxd.it/aNGk,
4,Inception,2010,https://boxd.it/1skk,
5,Ex Machina,2015,https://boxd.it/7T2k,
6,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
7,Edge of Tomorrow,2014,https://boxd.it/4pD0,
8,Annihilation,2018,https://boxd.it/9yzm,
9,Moon,2009,https://boxd.it/1IGQ,
10,The Shape of Water,2017,https://boxd.it/dZ5m,
11,Looper,2012,https://boxd.it/ham,
12,District 9,2009,https://boxd.it/1Iik,
13,A Quiet Place,2018,https://boxd.it/fVJQ,
14,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
15,Interstellar,2014,https://boxd.it/4VZ8,
16,Ad Astra,2019,https://boxd.it/ePzI,
17,Gravity,2013,https://boxd.it/GZY,
