Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-05-30,Star Wars Movies Chronological Order,,https://boxd.it/1NkXA,

Position,Name,Year,URL,Description
1,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
2,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
3,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
4,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,
5,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
6,Star Wars,1977,https://boxd.it/72s,
7,The Empire Strikes Back,1980,https://boxd.it/27Vw,
8,Return of the Jedi,1983,https://boxd.it/27Vm,
9,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
10,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
