Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-12-14,Star Wars vs Star Trek,,https://boxd.it/Sh10,

Position,Name,Year,URL,Description
1,The Empire Strikes Back,1980,https://boxd.it/27Vw,
2,Star Wars,1977,https://boxd.it/72s,
3,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
4,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
5,Star Trek,2009,https://boxd.it/1Q6c,
6,Return of the Jedi,1983,https://boxd.it/27Vm,
7,Star Trek Beyond,2016,https://boxd.it/5Ik4,
8,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
9,Star Trek Into Darkness,2013,https://boxd.it/uYE,
10,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
11,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
