Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-07-09,Top 10 Sci-Fi Movies,,https://boxd.it/q4LS,

Position,Name,Year,URL,Description
1,Inception,2010,https://boxd.it/1skk,
2,Ex Machina,2015,https://boxd.it/7T2k,
3,The Martian,2015,https://boxd.it/8SeG,
4,Aliens,1986,https://boxd.it/29PA,
5,Back to the Future,1985,https://boxd.it/2b8e,
6,Alien,1979,https://boxd.it/2awY,
7,Arrival,2016,https://boxd.it/aNGk,
8,The Terminator,1984,https://boxd.it/2aQY,
9,Moon,2009,https://boxd.it/1IGQ,
10,Blade Runner,1982,https://boxd.it/2bcA,
