Letterboxd list export v7
Date,Name,Tags,URL,Description
2015-07-09,DC Ranked,,https://boxd.it/q4Oi,

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,Superman,2025,https://boxd.it/E9IU,
4,Batman Begins,2005,https://boxd.it/2aIg,
5,The Suicide Squad,2021,https://boxd.it/fw6O,
6,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
7,Superman,1978,https://boxd.it/27Qm,
8,Batman Returns,1992,https://boxd.it/2awa,
9,Batman,1989,https://boxd.it/2aIU,
10,Wonder Woman,2017,https://boxd.it/9roG,
11,The Dark Knight Rises,2012,https://boxd.it/H3m,
12,Shazam!,2019,https://boxd.it/8WBu,
13,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
14,Superman Returns,2006,https://boxd.it/28J2,
15,Joker,2019,https://boxd.it/h4cS,
16,Aquaman,2018,https://boxd.it/9ru0,
17,Watchmen,2009,https://boxd.it/1QE4,
18,Man of Steel,2013,https://boxd.it/FRk,
19,Batman,1966,https://boxd.it/26uO,
20,Superman II,1980,https://boxd.it/204q,
21,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
22,Justice League,2017,https://boxd.it/4w68,
23,Wonder Woman 1984,2020,https://boxd.it/gBtA,
24,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,
25,Suicide Squad,2016,https://boxd.it/9row,
26,Batman Forever,1995,https://boxd.it/2ara,
27,Green Lantern,2011,https://boxd.it/QN4,
28,Batman & Robin,1997,https://boxd.it/2ar0,
