Letterboxd list export v7
Date,Name,Tags,URL,Description
2016-06-19,Pixar Ranked,,https://boxd.it/ICDE,

Position,Name,Year,URL,Description
1,Toy Story,1995,https://boxd.it/29qA,
2,Toy Story 2,1999,https://boxd.it/29qq,
3,The Incredibles,2004,https://boxd.it/1XLm,
4,Toy Story 3,2010,https://boxd.it/1WRe,
5,Ratatouille,2007,https://boxd.it/27ww,
6,Coco,2017,https://boxd.it/bYJQ,
7,Inside Out,2015,https://boxd.it/4KHC,
8,Finding Nemo,2003,https://boxd.it/72i,
9,"Monsters, Inc.",2001,https://boxd.it/2a46,
10,Toy Story 4,2019,https://boxd.it/9ALu,
11,WALL·E,2008,https://boxd.it/1VEo,
12,A Bug's Life,1998,https://boxd.it/1Yyy,
13,Up,2009,https://boxd.it/1OEc,
14,Cars 3,2017,https://boxd.it/7IPq,
15,Incredibles 2,2018,https://boxd.it/7IPg,
16,Cars,2006,https://boxd.it/29ho,
17,Finding Dory,2016,https://boxd.it/4aAA,
18,Turning Red,2022,https://boxd.it/ipkq,
19,Elemental,2023,https://boxd.it/ASiE,
20,Brave,2012,https://boxd.it/bVG,
21,Elio,2025,https://boxd.it/CFr8,
22,Onward,2020,https://boxd.it/io92,
23,Inside Out 2,2024,https://boxd.it/CFrC,
24,The Good Dinosaur,2015,https://boxd.it/3AD4,
25,Soul,2020,https://boxd.it/ioLA,
26,Lightyear,2022,https://boxd.it/qV1G,
27,Cars 2,2011,https://boxd.it/H4Y,
28,Luca,2021,https://boxd.it/ipjC,
29,Monsters University,2013,https://boxd.it/bQm,
